S.No,translated_texts,Label,telugu_texts
HATE_1001,Thappu chesina vaallaku vanike kaadu inka anni modalithavi. Enta Kaalam Students Life Tho Aadukuntu Crores Earn Chedtharu Illegal Ga.,hate,Thappu chesina vaallaku vanike kaadu inka anni modalithavi  . Enta kaalam students life tho aadukuntu crores earn chedtharu illegal ga.
HATE_1002,Dhusta chaathuryam! Meeru lantivi enni chesina em pikalerra!,hate,Dhusta chaathuryam!  Meeru ilantivi enni chesina em pikalerra!
HATE_1003,Vetakaram Super. Govt ki siggu seram radu. Endukante Siggu Seram Manushulaku Mathrme Vuntundani Na Abiprayam.,hate,Vetakaram super. Govt ki siggu seram radu. Endukante siggu seram manushulaku mathrme vuntundani na abiprayam.
HATE_1004,Only Rajakiyam ga vadukovatanike EE dharidrapu arestlu,hate,Only rajakiyam ga vadukovatanike ee dharidrapu arestlu
HATE_1005,Katam Hogaya Narayana Pedda Bokada College,hate,Katam hogaya narayana pedda bokada college
HATE_1006,Telugu Desam Party only good administration in the world,non-hate,TELUGU DESAM PARTY ONLY GOOD ADMINISTRATION IN THE WORLD
HATE_1007,Nenu Aite Jabardast Show Chudadam Manesanu TV 5 ABN Channels Lo Debates Vchinaka,non-hate,Nenu aite Jabardast show chudadam manesanu TV 5 ABN channels lo debates vchinaka 
HATE_1008,Jagan Meeda Jaganke Visvasam Ledu Anduke EA LOFFER PANULU,hate,Jagan meeda jaganke visvasam ledu anduke ea loffer panulu
HATE_1009,Students tho adukovtam thappu,non-hate,Students tho adukovtam thappu
HATE_1010,Srinivasa,hate,Srinivasa gaaru endukee panikamaalina debate... Aa sambaki paniledu... Meeku jeetam kavaali ..makenti gola... Anni exams happy ga jariginai... problem meeu creat cheyyavaddu
HATE_1011,Meru Mi Media Published Cheyadam Vallane Elanti Idea Lu Vastai Vallaki,non-hate,Meru mi media published cheyadam vallane elanti idea lu vastai vallaki
HATE_1012,"One of the Great Leader, a BIG SALUTE SIR.,",non-hate,"One of the Great Leader, A Big Salute Sir.,,"
HATE_1013,"Mogavalla Face Luu Mathram Manchiga Chupishtharu Kanni Asallu
Edhi EE Society Andhukaa Makky ""He Team"" Kavalli",hate,"Mogavalla face luu mathram manchiga chupistharu kanni asallu panni chaseena leady face mathram blur chastharuu..
Edhi ee society andhukaa makky ""HE TEAM"" kavalli "
HATE_1014,Paniki Malina Chana,hate,Paniki malina chana
HATE_1015,"Rosayya Garu is a real, good and true politician. History Lo Oka Great Leader Rosayya Garu. No words to praise you sir. RIP rosayya garu",non-hate,"Rosayya garu is a real, Good and true politician. History lo oka great leader Rosayya garu. No words to praise you sir. Rip Rosayya garu"
HATE_1016,Telangana guju gulam kadu,hate,Telangana gujju gulam kadu
HATE_1017,Disevulera mundamopi,hate,Disevulera mundamopi
HATE_1018,"Anta Manchi Job Chestu Govt Ki Tala Vanchi Bratakadaniki Siggundali,",hate,"Anta manchi job chestu govt ki tala vanchi bratakadaniki siggundali,"
HATE_1019,Down to Earth Man Rosaiah Garu,non-hate,Down To Earth Man Rosaiah Garu
HATE_1020,Jagan is unstoppable,non-hate,Jagan is unstoppable 
HATE_1021,"RK Eagerly Waiting To Demoralise Jagan, That Is His Intention",hate,"RK eagerly waiting to demoralise Jagan, that is his intention"
HATE_1022,Vedi nathinakodaka,hate,Vedi nathinakodaka
HATE_1023,Vizag News Reporter Overaction Chestunadu,hate,Vizag News reporter overaction chestunadu
HATE_1024,Revanth Reddy Garu has very clarity in his things ... Excellent,non-hate,Revanth Reddy garu has very clarity in his thoughts... excellent way of expressing himself 
HATE_1025,Mahesh Smile ... pure soul,non-hate,Mahesh smile ...pure soul
HATE_1026,Kanipinche devudu cbn,non-hate,Kanipinche devudu CBN
HATE_1027,Die hard fan frm kerala nenu choosina pedha actor uh tollywood lo Pawan Garuu,non-hate,Die hard fan frm Kerala  Nenu choosina pedha actor uh Tollywood lo Pawan Garuu
HATE_1028,Anna .... Nee laanti vaale kavali .... tdpki,non-hate,Anna....Nee lanti vaale kavali .... TDPki
HATE_1029,Babulake Baabu Super Star Mahesh Baabu,non-hate,Babulake Baabu Super star Mahesh Baabu 
HATE_1030,Jai Pawan Kalyan Garu. Pawan ji in Andhra and modi ji in center. Perfect ComboðŸ‡®ðŸ‡³ðŸ‡®ðŸ‡³ I AM A BIG FAN OF SIR from Delhi. I have someone like him in Delhi.,non-hate,Jai Pawan Kalyan Garu. Pawan Ji in Andhra and Modi Ji in centre. Perfect Combo????????  I am a big fan of sir from Delhi. I wish we had someone like him in Delhi.
HATE_1031,SIR YCP KI BALLE GUNAPAM DIMPUTUNAVU,hate,Sir ycp ki balle gunapam dimputunavu
HATE_1032,"Harish Rao Garu Adiginatlu, Kaleswaram Project Pai, CBI Inquiry Veyali",non-hate,"Harish Rao garu adiginatlu, Kaleswaram project pai, CBI inquiry veyali"
HATE_1033,Gounu Leduga Anduke Intlo Tongunnadu Bayataki Vaste Ummivestarani,hate,Gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani
HATE_1034,Pavan Kalyan Gari Nayakatvam Vardillali Jai Power Star,non-hate,Pavan Kalyan gari nayakatvam vardillali jai power star 
HATE_1035,Sagam kaalchina chutta peekalaku brand amsador,hate,Sagam kaalchina chutta peekalaku brand amsador
HATE_1036,BJP central lo vachi yemi chesinru chepu,hate,Bjp central lo vachi yemi chesinru chepu
HATE_1037,PK Navu Janmmalo Ward Member Kuda Kaledu,hate,PK navu janmmalo ward member kuda Kaledu
HATE_1038,Lancham Antunaru Anam Garu ...... Inthaku Mundu Your Government Ilagey Chesinda ...,hate,Lancham antunaru anam garu...... inthaku mundu your government ilagey chesinda...
HATE_1039,Jagan eppatiki CM avvaledu raasi pettukoo .... ha ....,hate,Jagan eppatiki CM avvaledu raasi pettukoo....ha ....
HATE_1040,Kirrak Movie Cinema Gurinchi Bad ga Anakandi Jai Mahesh Anna,non-hate,Kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna
HATE_1041,Ka pal garu miru super,non-hate,Ka pal garu miru super
HATE_1042,Hehe MLA Kuda Glavaledu Kanisam Gurtu Kuda Ledu Ento Pikuta Antunnadu,hate,Hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu
HATE_1043,NO 1 LOAFER. Jai tdp-lokesh,hate,No 1 loafer. Jai TDP-Lokesh
HATE_1044,Asalu Ka Paul Time Ivvakudadhu Amitashaku Andhukante Ayana 120 Deshala PM Lanu Ayana Kalisaru,non-hate,Asalu ka paul time ivvakudadhu amitashaku andhukante ayana 120 deshala pm lanu ayana kalisaru
HATE_1045,Vammo mamulodivi kadu swamy nuvvu,non-hate,Vammo mamulodivi kadu swamy Nuvvu
HATE_1046,Manalli yavadu ra apeddi,non-hate,Manalli yavadu ra apeddi
HATE_1047,Poraaa..Red Flower ...,hate,Poraaa..Red Flower...
HATE_1048,He has more talking power aina daivajanulato anta easy kadu mari,non-hate,He has more talking power Aina daivajanulato anta easy kadu mari
HATE_1049,Mahesh Babu Nilabadithe Chalu Memu Chusathsam Bayya Super Dail.,non-hate,Mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge 
HATE_1050,Idira pual power anty ippudina telusukondra,non-hate,Idira pual power anty ippudina telusukondra
HATE_1051,Ramu Garu Correct GA CHEPARU SIR,non-hate,Ramu garu correct  ga chepparu sir
HATE_1052,Nuvvu bjp b party ra houle,hate,Nuvvu bjp b party ra houle
HATE_1053,Ayanni Okasari Kodithey Meeru Laksha Sarlu Chupisthunnaru Emkavali Meeku,hate,Ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku
HATE_1054,Employees ki antha salary lu vasthuna chalatledhu,hate,Employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey
HATE_1055,TC Rate Penchadam Kadu ... Udyamalu Cheyakunda ... Employees Kastapadithe Development Avutundi ...,hate,tc rate penchadam kadu...udyamalu cheyakunda... employees kastapadithe development avutundi...
HATE_1056,Ni Jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir. Pawan Thana Cinema dabbulu pedavallaki pancharu,non-hate,Ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir. Pawan thana cinema dabbulu pedhavallaki pancharu
HATE_1057,AALLU EELLU ANDARU OKKATE,non-hate,Aallu eellu andaru okkate
HATE_1058,ETV News Ani Thesesi Chandrana News,non-hate,Etv news Ani thesesi chandrana news Ani pettandi baguntundhi
HATE_1059,Miru kada ra Janalni mosam chesedhi,hate,Miru kada ra janalni mosam chesedhi 
HATE_1060,Nenukuda.pedhavadene.upadhe.ledhu.vudhyogam.ledhu.panulu.ekuva.dhorukadamledhu,non-hate,NENUKUDA.PEDHAVADENE.UPADHE.LEDHU.VUDHYOGAM.LEDHU.PANULU.EKUVA.DHORUKADAMLEDHU
HATE_1061,EE sari nennu ne boss ni chayputho kodataru plz hold til 2024,hate,Ee sari Nennu ne boss ni chayputho kodataru plz hold til 2024
HATE_1062,Eppudina Ardaminda Power Cuts AP Lone Kaadu India Mottam Edhe Problem,non-hate,Eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem
HATE_1063,Asalem matladuthunnavo neekanna ardham ayithundha,hate,Asalem matladuthunnavo neekanna ardham ayithundha 
HATE_1064,EDE AP LO AITE PACHHA Media Pachha Party Diniki Kuda Jagan Ne Karanam Ane Vallu,hate,Ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu
HATE_1065,America agent jelensky .... Deshanni Nashanam Chesthunnadu.,hate,America Agent Jelensky....deshanni nashanam chesthunnadu.
HATE_1066,POWER LO UDI EVARU RA VEDAVA,hate,Power Lo undi evaru ra vedava
HATE_1067,Torch Lite Kuda Leni Rojula Fake News Vadu Kavalane Chesind,hate,Torch lite Kuda Leni rojula fake news vadu kavalane chesind
HATE_1068,Prajalu andaru sachinanka peekedemiledu,hate,Prajalu andaru sachinanka peekedemiledu
HATE_1069,Amarica Andatho Madam Perigi Kotukuntundi Urikine,hate, amarica andatho madam perigi kotukuntundi urikine
HATE_1070,Chetthaplan. Raakshathvam,hate,CHETTHAPLAN.  RAAKSHASHATHVAM
HATE_1071,Anna nuvu chepthuntevoka emotion vasthundanna,non-hate,Anna nuvu chepthuntevoka emotion vasthundanna
HATE_1072,India an Russia Are Best Friendly Countries Evaru Dislike Chesaro Vallu Pak,non-hate,"India an Russia are best friendly countries evaru dislike chesaro vallu pak , america nd china ollu "
HATE_1073,Easy Vochina Success Ni Scam Antarau .. Emi Chepparu Bhayya ..,non-hate,Easy vochina success ni scam antarau.. Emi chepparu bhayya.. Love it
HATE_1074,Niyamtruthva Leaders TIME Konni Rojule.,non-hate,Niyamtruthva leaders time konni rojule.
HATE_1075,"Samsaram Kadu, Adi Vebhicharam",hate,"samsaram kadu, adi vebhicharam"
HATE_1076,Nice baaga dhimpav anchor bro.,hate,Nice baaga dhimpav Anchor bro.
HATE_1077,Mari aa Sangathi thatisi Antha Madham Yendhukura Niku .... Vaaru Garu Antunnaav .... Gnanodhayamyndhi koddhiga ....,hate,Mari aa sangathi thelisi antha madham yendhukura niku.... Vaaru garu antunnaav....gnanodhayamyndhi koddhiga....
HATE_1078,"""Maa"" president ga gelipiste yedo peekutanu annadu yemi peekaadu ... ATHER â€œâ€",hate,""" MAA"" president ga gelipiste yedo peekutanu annadu yemi peekaadu ...yedyna cheyalante manchi manasu vundali megastar chesinavi chudandi ..apdbaandhavudu ..andarivadu..annayya ..jai chiranjeevi..andariki mere """" GOD FATHER """""
HATE_1079,One and only Mega Star ..... Potthi Learu .... Raleyru,non-hate,One and only Mega star .....Potthi leyru....Raleyru
HATE_1080,Andaru Ide Panlo Unnattunnaru Veellu Vammmo Meeru Rechagodithe Rechiporu Meeplans Panikirav Pondi,hate,Andaru ide Panlo unnattunnaru veellu vammmo meeru rechagodithe rechiporu meeplans panikirav pondi
HATE_1081,"Chiranjeevi Gaaru Meeru epudu GREATE MI Manasu, Mi Saayam, Mi Kalmasham Leni Vyakthitwam, Mi Prema Mundu Evvaru Sariporu Annayya Ee Vishnu Lantollu Mandala Mandocina ALLA KULLU VALLANE THAGALAPETTESTUNDI",non-hate,"Chiranjeevi gaaru meeru eppudu greate mi manasu, mi saayam, mi kalmasham leni vyakthitwam, mi prema mundu evvaru sariporu annayya ee vishnu lantollu vandala mandochina mi kaali gotiki kuda sariporu annayya valla kullu vallane thagalapettestundi"
