S.No,comments ,Label
HATE_1001,Thappu chesina vaallaku vanike kaadu inka anni modalithavi. Enta Kaalam Students Life Tho Aadukuntu Crores Earn Chedtharu Illegal Ga.,hate
HATE_1002,Dhusta chaathuryam! Meeru lantivi enni chesina em pikalerra!,hate
HATE_1003,Vetakaram Super. Govt ki siggu seram radu. Endukante Siggu Seram Manushulaku Mathrme Vuntundani Na Abiprayam.,hate
HATE_1004,Only Rajakiyam ga vadukovatanike EE dharidrapu arestlu,hate
HATE_1005,Katam Hogaya Narayana Pedda Bokada College,hate
HATE_1006,Telugu Desam Party only good administration in the world,non-hate
HATE_1007,Nenu Aite Jabardast Show Chudadam Manesanu TV 5 ABN Channels Lo Debates Vchinaka,non-hate
HATE_1008,Jagan Meeda Jaganke Visvasam Ledu Anduke EA LOFFER PANULU,hate
HATE_1009,Students tho adukovtam thappu,non-hate
HATE_1010,Srinivasa,hate
HATE_1011,Meru Mi Media Published Cheyadam Vallane Elanti Idea Lu Vastai Vallaki,non-hate
HATE_1012,"One of the Great Leader, a BIG SALUTE SIR.,",non-hate
HATE_1013,"Mogavalla Face Luu Mathram Manchiga Chupishtharu Kanni Asallu
Edhi EE Society Andhukaa Makky ""He Team"" Kavalli",hate
HATE_1014,Paniki Malina Chana,hate
HATE_1015,"Rosayya Garu is a real, good and true politician. History Lo Oka Great Leader Rosayya Garu. No words to praise you sir. RIP rosayya garu",non-hate
HATE_1016,Telangana guju gulam kadu,hate
HATE_1017,Disevulera mundamopi,hate
HATE_1018,"Anta Manchi Job Chestu Govt Ki Tala Vanchi Bratakadaniki Siggundali,",hate
HATE_1019,Down to Earth Man Rosaiah Garu,non-hate
HATE_1020,Jagan is unstoppable,non-hate
HATE_1021,"RK Eagerly Waiting To Demoralise Jagan, That Is His Intention",hate
HATE_1022,Vedi nathinakodaka,hate
HATE_1023,Vizag News Reporter Overaction Chestunadu,hate
HATE_1024,Revanth Reddy Garu has very clarity in his things ... Excellent,non-hate
HATE_1025,Mahesh Smile ... pure soul,non-hate
HATE_1026,Kanipinche devudu cbn,non-hate
HATE_1027,Die hard fan frm kerala nenu choosina pedha actor uh tollywood lo Pawan Garuu,non-hate
